Sample ID,Floral,Country,Island,Year,Latitude,Longitude,Li,B,Na,Mg,Al,K,Ca,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Rb,Sr,Ag,Cs,Ba,La,Ce,Pb,Rb/Sr
100026 Avg,Clover,New Zealand,South,2009,-45.2824624,168.4049692,0,3.877029678,43.55826249,11.62400578,0.052107202,244.6164413,32.04384777,0,-0.004398887,0.388149496,0.77089332,0.004174358,0.008137117,-0.016546187,1.673663892,0.008932499,0.415421491,0.056137004,-0.000461398,0,0.059373242,-0.000529374,0.000379608,0.014958142,7.400136414
100027 Avg,Clover,New Zealand,South,2009,-45.2824624,168.4049692,0,3.65950212,37.74633365,11.44548058,0.059940707,238.3195563,31.21231949,0,0.008109134,0.472095182,1.278194301,0.004417882,0.010957691,0.059656025,1.35300125,0.010669834,0.329856462,0.0706628,0.002007856,0,0.068646399,0.000349589,0.000344967,0.010264049,4.668035553
100028 Avg,Honeydew,New Zealand,South,2009,-43.0024274,171.551371,0.009308885,1.571803778,10.42849092,83.45805006,0.362218261,3839.837522,24.62018351,0,-0.004248731,1.883859171,1.152101646,0.014348592,0.635872512,1.23286773,2.235200983,0.023650683,9.500483509,0.136376836,0.002306625,0.058424706,0.169337871,-0.000136066,-0.001030271,0.001800584,69.6634694
100029 Avg,Polyfloral,New Zealand,South,2009,-42.2824593,171.4816235,0,5.252267867,31.74141909,58.9316902,3.586630849,3183.00142,322.3079644,0,0.087511474,1.958738984,4.163492612,0.009314376,0.322914722,1.048671163,18.9386284,0.036895133,10.73542531,0.573978502,0.00103094,0.020967207,0.264244893,0.000210511,0.000109843,0.041389041,18.70353208
100030 Avg,Polyfloral,New Zealand,South,2009,-42.2824593,171.4816235,0,5.022250913,31.11881343,59.29386814,3.815507786,3194.388394,52.58437417,0.000332435,0.078507712,1.91561117,5.23903268,0.00884037,0.380558459,1.481624972,5.287233488,0.036270694,10.60581451,0.476175599,0.002106013,0.022178651,0.262083063,0.000366679,0.000361831,0.042210423,22.27290633
100031 Avg,Kamahi,New Zealand,South,2009,-42.2824593,171.4816235,0.003179317,3.104256109,60.10755132,50.75569346,1.081468352,2934.862623,62.82575478,0.000883759,0.067169184,1.720458589,3.905304855,0.01037075,0.433945296,1.348042519,4.105951769,0.03441037,9.58124126,0.436496333,0.002310525,0.020955164,0.243430336,0.000402287,-0.000307309,0.095334084,21.95033622
100032 Avg,Kamahi,New Zealand,South,2009,-42.2824593,171.4816235,0,4.872606177,67.39794784,37.51389653,2.288477557,2701.397923,72.10880112,0.000800225,0.042298591,1.632374441,4.785244075,0.005342932,0.17392028,0.574947166,2.165906483,0.039216493,8.724693492,0.503758895,0.000328667,0.015102,0.265770858,0.000124792,8.66E-05,0.08862702,17.31918497
100033 Avg,Polyfloral,New Zealand,South,2009,-41.5597834,173.785667,0.014563396,3.174453003,19.6640395,42.30276951,0.29982479,2087.151513,29.53853014,0,0.008287053,1.866612702,1.148381312,0.011378905,0.545850525,0.871050134,4.104232204,0.028359573,2.962131464,0.093961149,0.003621417,0.008773922,0.19242292,0,0,0.010111379,31.52506657
100034 Avg,Manufacturing,New Zealand,South,2009,-41.79559672,173.622306,0.024765236,5.283209134,14.64953143,27.16881921,0.416572256,464.9742785,30.77774392,0.000678521,0.017687233,0.299907425,7.206399532,0.003141312,0.04473242,0.266910218,5.138003893,0.020233006,0.328282126,0.135515352,0.002154958,0,0.126075566,0.000146302,0.000146511,0.034839773,2.42247185
100035 Avg,Manufacturing,New Zealand,South,2009,-41.76277878,173.7192684,0.02114687,4.607881406,14.26687317,24.38631082,0.936018047,343.9006564,29.66459144,0.001149845,0.030624459,0.224624703,2.555458513,0,0.033185869,0.321689514,5.796003882,0.017857849,0.236851877,0.12975692,0.000128135,0,0.10861892,0.000133136,0.000110969,0.030971272,1.825350641
